security,date,mon_return
HYG,2007-05-31,0.0037336485597347924
HYG,2007-06-30,-0.031529079237115676
HYG,2007-07-31,-0.03884911894273135
HYG,2007-08-31,0.05195651551175917
HYG,2007-09-30,0.02917809804548943
HYG,2007-10-31,0.004769243998756556
HYG,2007-11-30,-0.011202693035238576
HYG,2007-12-31,-0.000921016713679168
HYG,2008-01-31,-0.018268491738749892
HYG,2008-02-29,-0.018696685145378478
HYG,2008-03-31,0.009400789048322977
HYG,2008-04-30,0.03399091748065164
HYG,2008-05-31,-0.005204973444914884
HYG,2008-06-30,-0.03669429342998254
HYG,2008-07-31,0.005904118589558749
HYG,2008-08-31,-0.008940562790207274
HYG,2008-09-30,-0.10655951899173266
HYG,2008-10-31,-0.11481159375275007
HYG,2008-11-30,-0.0710286003350985
HYG,2008-12-31,0.1678606727143388
HYG,2009-01-31,-0.010128642928951215
HYG,2009-02-28,-0.09695890478096436
HYG,2009-03-31,0.019302958761860722
HYG,2009-04-30,0.1384306382575926
HYG,2009-05-31,0.02849355218404659
HYG,2009-06-30,0.03336070233057531
HYG,2009-07-31,0.06916363102950895
HYG,2009-08-31,-0.016992133906521545
HYG,2009-09-30,0.05807080432390688
HYG,2009-10-31,-0.005214871617863381
HYG,2009-11-30,0.016783025143597197
HYG,2009-12-31,0.036846166385915424
HYG,2010-01-31,-0.018328103021422182
HYG,2010-02-28,0.018693784113913647
HYG,2010-03-31,0.02133373022694207
HYG,2010-04-30,0.019260490748437498
HYG,2010-05-31,-0.046752007152652375
HYG,2010-06-30,0.011145332944640929
HYG,2010-07-31,0.05150023607669785
HYG,2010-08-31,-0.009930281397710017
HYG,2010-09-30,0.03650130139611596
HYG,2010-10-31,0.018363988383349517
HYG,2010-11-30,-0.01273230225196531
HYG,2010-12-31,0.027861225370122034
HYG,2011-01-31,0.01650192222663538
HYG,2011-02-28,0.014337479080808846
HYG,2011-03-31,0.0004306405278162728
HYG,2011-04-30,0.015979512514076033
HYG,2011-05-31,0.001335411832428246
HYG,2011-06-30,-0.005673733541620263
HYG,2011-07-31,0.003510208332211162
HYG,2011-08-31,-0.02729816676268826
HYG,2011-09-30,-0.05300701744704728
HYG,2011-10-31,0.08500703147458966
HYG,2011-11-30,-0.02416253723648032
HYG,2011-12-31,0.04546363477925852
HYG,2012-01-31,0.014648775086553822
HYG,2012-02-29,0.020965886981711312
HYG,2012-03-31,-0.009518114739102912
HYG,2012-04-30,0.011374499982042874
HYG,2012-05-31,-0.032214481382528914
HYG,2012-06-30,0.04662702746147751
HYG,2012-07-31,0.010215103127634517
HYG,2012-08-31,0.012413779427366656
HYG,2012-09-30,0.005208554369080964
HYG,2012-10-31,0.008474645076538057
HYG,2012-11-30,0.010488587180544018
HYG,2012-12-31,0.013972943257325898
HYG,2013-01-31,0.0034274184043410205
HYG,2013-02-28,0.009313725490196267
HYG,2013-03-31,0.008712626092569398
HYG,2013-04-30,0.021174251863610882
HYG,2013-05-31,-0.025801125861832697
HYG,2013-06-30,-0.016880592653068738
HYG,2013-07-31,0.028507302587912786
HYG,2013-08-31,-0.012674197578628865
HYG,2013-09-30,0.007841843506975144
HYG,2013-10-31,0.02515744534364428
HYG,2013-11-30,0.004743116185359275
HYG,2013-12-31,0.00406274804695661
HYG,2014-01-31,0.003983897978925732
HYG,2014-02-28,0.02309513942336161
HYG,2014-03-31,-0.0008072402798431355
HYG,2014-04-30,0.004200172002907232
HYG,2014-05-31,0.012072025571413514
HYG,2014-06-30,0.006138526411761491
HYG,2014-07-31,-0.024319345745034915
HYG,2014-08-31,0.02380230244683945
HYG,2014-09-30,-0.01983430073919723
HYG,2014-10-31,0.010598667827425023
HYG,2014-11-30,-0.010818066170504737
HYG,2014-12-31,-0.007999756969408467
HYG,2015-01-31,0.007031809385759313
HYG,2015-02-28,0.022293404077542656
HYG,2015-03-31,-0.00947506792188757
HYG,2015-04-30,0.008700514394317516
HYG,2015-05-31,0.003549995534150918
HYG,2015-06-30,-0.018880932165677544
HYG,2015-07-31,-0.004924462772789351
HYG,2015-08-31,-0.015222726430820566
HYG,2015-09-30,-0.02988162550400253
HYG,2015-10-31,0.03234396015849339
HYG,2015-11-30,-0.02497615798817432
HYG,2015-12-31,-0.019966985028899487
HYG,2016-01-31,-0.016010060220059574
HYG,2016-02-29,0.0150003666999039
HYG,2016-03-31,0.025383418605795294
HYG,2016-04-30,0.03122455864162821
HYG,2016-05-31,0.0016996195120391189
HYG,2016-06-30,0.017918051584248973
HYG,2016-07-31,0.013118213641516219
HYG,2016-08-31,0.019704017508426874
HYG,2016-09-30,0.010778244756837418
HYG,2016-10-31,-0.009831713831582767
HYG,2016-11-30,0.0002027239479041043
HYG,2016-12-31,0.018394503571768306
HYG,2017-01-31,0.009127931850552162
HYG,2017-02-28,0.015302795718544537
HYG,2017-03-31,-0.0014496009302817914
HYG,2017-04-30,0.008154428627576094
HYG,2017-05-31,0.010306828996160311
HYG,2017-06-30,0.001314837262903934
HYG,2017-07-31,0.010198666388127942
HYG,2017-08-31,0.0006473580982058191
HYG,2017-09-30,0.006006009860689776
HYG,2017-10-31,0.0008510562284045342
HYG,2017-11-30,-0.003677975112155951
HYG,2017-12-31,0.0024542106731293423
HYG,2018-01-31,0.00045824015358064685
HYG,2018-02-28,-0.008661747838390577
HYG,2018-03-31,-0.002288282398243413
HYG,2018-04-30,0.004815382392701961
HYG,2018-05-31,0.0004981019491447913
HYG,2018-06-30,0.0009815935176333834
HYG,2018-07-31,0.016773275563702672
HYG,2018-08-31,0.007072661829688798
