security,date,mon_return
SPY,2000-03-31,0.09689484259312198
SPY,2000-04-30,-0.03512036373076888
SPY,2000-05-31,-0.01572275773909959
SPY,2000-06-30,0.019704443509524827
SPY,2000-07-31,-0.015702110357253884
SPY,2000-08-31,0.06534025328144044
SPY,2000-09-30,-0.054806497936250476
SPY,2000-10-31,-0.004678530742260545
SPY,2000-11-30,-0.07465273919324378
SPY,2000-12-31,-0.005153975143887712
SPY,2001-01-31,0.04430734655223301
SPY,2001-02-28,-0.09489022715355577
SPY,2001-03-31,-0.05628987223470272
SPY,2001-04-30,0.0702667125950347
SPY,2001-05-31,0.008807129383880508
SPY,2001-06-30,-0.024219525340145598
SPY,2001-07-31,-0.00978767677546144
SPY,2001-08-31,-0.05930771308052707
SPY,2001-09-30,-0.08234717465538766
SPY,2001-10-31,0.013409488005092784
SPY,2001-11-30,0.07845005964938312
SPY,2001-12-31,0.005174793008279499
SPY,2002-01-31,-0.009623563118337786
SPY,2002-02-28,-0.017668780675838436
SPY,2002-03-31,0.032597483770280045
SPY,2002-04-30,-0.05764212788291101
SPY,2002-05-31,-0.006487612587465774
SPY,2002-06-30,-0.07358023581425732
SPY,2002-07-31,-0.07881918924511733
SPY,2002-08-31,0.00680118238323324
SPY,2002-09-30,-0.10485238495320559
SPY,2002-10-31,0.08228272416911064
SPY,2002-11-30,0.06168121577148389
SPY,2002-12-31,-0.05663603749704538
SPY,2003-01-31,-0.024595246515448754
SPY,2003-02-28,-0.013478359834812825
SPY,2003-03-31,0.0020600886662160978
SPY,2003-04-30,0.08461234827801722
SPY,2003-05-31,0.05483527581406755
SPY,2003-06-30,0.010662308015203736
SPY,2003-07-31,0.01802729555007132
SPY,2003-08-31,0.020625413046181595
SPY,2003-09-30,-0.010885977869376617
SPY,2003-10-31,0.05352726326555768
SPY,2003-11-30,0.010920856958187342
SPY,2003-12-31,0.050322475007049894
SPY,2004-01-31,0.019770093326124227
SPY,2004-02-29,0.013570405959573817
SPY,2004-03-31,-0.013197191781231798
SPY,2004-04-30,-0.018920885999175074
SPY,2004-05-31,0.017123279202553743
SPY,2004-06-30,0.018491887614252356
SPY,2004-07-31,-0.032218446654086685
SPY,2004-08-31,0.0024357186109866813
SPY,2004-09-30,0.010016928633997058
SPY,2004-10-31,0.01288482105227251
SPY,2004-11-30,0.04450997181147365
SPY,2004-12-31,0.030152344811388287
SPY,2005-01-31,-0.022419795584216695
SPY,2005-02-28,0.02090352526909678
SPY,2005-03-31,-0.018280589807708747
SPY,2005-04-30,-0.018735063794352413
SPY,2005-05-31,0.032224277249683686
SPY,2005-06-30,0.0014967210659266872
SPY,2005-07-31,0.03826172028742669
SPY,2005-08-31,-0.0093740353841405
SPY,2005-09-30,0.007992215516487322
SPY,2005-10-31,-0.02365095721026078
SPY,2005-11-30,0.04395291869643225
SPY,2005-12-31,-0.0018995242144110858
SPY,2006-01-31,0.024014738934071467
SPY,2006-02-28,0.005725453121876445
SPY,2006-03-31,0.016504011089635284
SPY,2006-04-30,0.0126317740600006
SPY,2006-05-31,-0.030120930269981083
SPY,2006-06-30,0.0022502366896426373
SPY,2006-07-31,0.004873188462027889
SPY,2006-08-31,0.02182197085530313
SPY,2006-09-30,0.02699369317534872
SPY,2006-10-31,0.03151669044334526
SPY,2006-11-30,0.019885325987703206
SPY,2006-12-31,0.013869174079538693
SPY,2007-01-31,0.014539533899669443
SPY,2007-02-28,-0.01961808341742899
SPY,2007-03-31,0.011602054613354396
SPY,2007-04-30,0.044296176972606904
SPY,2007-05-31,0.03392014679528765
SPY,2007-06-30,-0.014647545293590136
SPY,2007-07-31,-0.031309990908450214
SPY,2007-08-31,0.012832636376700846
SPY,2007-09-30,0.03869943279953181
SPY,2007-10-31,0.013566533691194982
SPY,2007-11-30,-0.038732236182033364
SPY,2007-12-31,-0.011332234208738412
SPY,2008-01-31,-0.06046109363770613
SPY,2008-02-29,-0.02584267987947475
SPY,2008-03-31,-0.009031480587051055
SPY,2008-04-30,0.047662340921242885
SPY,2008-05-31,0.015116452603670671
SPY,2008-06-30,-0.08349918097130904
SPY,2008-07-31,-0.008985984834232075
SPY,2008-08-31,0.014665812709638182
SPY,2008-09-30,-0.09204349739884132
SPY,2008-10-31,-0.16669594962463585
SPY,2008-11-30,-0.06960608482204445
SPY,2008-12-31,0.009835533540274666
SPY,2009-01-31,-0.08211523117159458
SPY,2009-02-28,-0.10744781998460629
SPY,2009-03-31,0.08348297470130905
SPY,2009-04-30,0.09934658474656954
SPY,2009-05-31,0.058452942520871076
SPY,2009-06-30,-0.000673261590292018
SPY,2009-07-31,0.07460657449384112
SPY,2009-08-31,0.036939577601462714
SPY,2009-09-30,0.035457448051345875
SPY,2009-10-31,-0.019225781087340188
SPY,2009-11-30,0.06160682730828437
SPY,2009-12-31,0.019071685272507688
SPY,2010-01-31,-0.03634207061665984
SPY,2010-02-28,0.031194365857515338
SPY,2010-03-31,0.06090518273209544
SPY,2010-04-30,0.015470504865857437
SPY,2010-05-31,-0.07945491352978096
SPY,2010-06-30,-0.051742798823117164
SPY,2010-07-31,0.06830043086610771
SPY,2010-08-31,-0.04498112975503277
SPY,2010-09-30,0.0895543324414847
SPY,2010-10-31,0.03820214284885126
SPY,2010-11-30,0.0
SPY,2010-12-31,0.06684366417365806
SPY,2011-01-31,0.023300748870976884
SPY,2011-02-28,0.03473719689097954
SPY,2011-03-31,0.0001070774601945601
SPY,2011-04-30,0.02896090201751922
SPY,2011-05-31,-0.011214065804925122
SPY,2011-06-30,-0.016887625704351206
