security,date,mon_return
GLD,2004-12-31,-0.0292553191489362
GLD,2005-01-31,-0.036073059360730575
GLD,2005-02-28,0.030791094268119545
GLD,2005-03-31,-0.016084558823529438
GLD,2005-04-30,0.01237739374124236
GLD,2005-05-31,-0.03921568627450989
GLD,2005-06-30,0.042977190876350546
GLD,2005-07-31,-0.014272559852670286
GLD,2005-08-31,0.013545072396076607
GLD,2005-09-30,0.07603686635944706
GLD,2005-10-31,-0.0064239828693790635
GLD,2005-11-30,0.05818965517241392
GLD,2005-12-31,0.050509164969450016
GLD,2006-01-31,0.09926328034121767
GLD,2006-02-28,-0.011111111111111183
GLD,2006-03-31,0.0362047440699127
GLD,2006-04-30,0.12030981067125657
GLD,2006-05-31,-0.013212475034567461
GLD,2006-06-30,-0.04670714619336769
GLD,2006-07-31,0.0315204964886493
GLD,2006-08-31,-0.013774540848638384
GLD,2006-09-30,-0.04527211430406164
GLD,2006-10-31,0.012947704725071452
GLD,2006-11-30,0.06889110225763617
GLD,2006-12-31,-0.01832582699176888
GLD,2007-01-31,0.025628856193640193
GLD,2007-02-28,0.02545118000925517
GLD,2007-03-31,-0.011131167268351505
GLD,2007-04-30,0.02053544265287499
GLD,2007-05-31,-0.02310329408257561
GLD,2007-06-30,-0.01937747940189216
GLD,2007-07-31,0.023650225610704956
GLD,2007-08-31,0.011095911232710032
GLD,2007-09-30,0.10508117859290445
GLD,2007-10-31,0.06951435178887233
GLD,2007-11-30,-0.01653523276519986
GLD,2007-12-31,0.06647697878944636
GLD,2008-01-31,0.10841620179480982
GLD,2008-02-29,0.05229759299781178
GLD,2008-03-31,-0.059991682262424684
GLD,2008-04-30,-0.04158831987611977
GLD,2008-05-31,0.009232544720138458
GLD,2008-06-30,0.045168667810177254
GLD,2008-07-31,-0.01444201312910287
GLD,2008-08-31,-0.09291740674955595
GLD,2008-09-30,0.04112103781666865
GLD,2008-10-31,-0.1613964970024685
GLD,2008-11-30,0.12573591253153915
GLD,2008-12-31,0.07732536421367198
GLD,2009-01-31,0.05536292186777625
GLD,2009-02-28,0.014456247946555534
GLD,2009-03-31,-0.0253697506207492
GLD,2009-04-30,-0.03334071776694736
GLD,2009-05-31,0.10232611435774053
GLD,2009-06-30,-0.0521829521829521
GLD,2009-07-31,0.02379907874533882
GLD,2009-08-31,0.0005356186395286677
GLD,2009-09-30,0.058351177730192605
GLD,2009-10-31,0.037228123419322356
GLD,2009-11-30,0.12786501511752668
GLD,2009-12-31,-0.07203389830508478
GLD,2010-01-31,-0.012580374615599799
GLD,2010-02-28,0.03274820687051738
GLD,2010-03-31,-0.004386365713241358
GLD,2010-04-30,0.05883432767324459
GLD,2010-05-31,0.030521844660194253
GLD,2010-06-30,0.023544552956317633
GLD,2010-07-31,-0.05087113740959903
GLD,2010-08-31,0.057061217421421784
GLD,2010-09-30,0.047755570117955504
GLD,2010-10-31,0.03682276600734902
GLD,2010-11-30,0.021112954305534393
GLD,2010-12-31,0.02436863092600805
GLD,2011-01-31,-0.06379757785467122
GLD,2011-02-28,0.05999075999075987
GLD,2011-03-31,0.015974023143809912
GLD,2011-04-30,0.08944658944658945
GLD,2011-05-31,-0.01791691277810603
GLD,2011-06-30,-0.024318364073776966
GLD,2011-07-31,0.08417065636536725
GLD,2011-08-31,0.12274938404194846
GLD,2011-09-30,-0.11062345262210216
GLD,2011-10-31,0.05871188156396312
GLD,2011-11-30,0.016672642524202086
GLD,2011-12-31,-0.1066243460882853
GLD,2012-01-31,0.11395486545167444
GLD,2012-02-29,-0.02967338019018373
GLD,2012-03-31,-0.013184324896826194
GLD,2012-04-30,-0.001480384900074072
GLD,2012-05-31,-0.06338028169014076
GLD,2012-06-30,0.023545706371191022
GLD,2012-07-31,0.00837682840389209
GLD,2012-08-31,0.04939612754808609
GLD,2012-09-30,0.04670563877724998
GLD,2012-10-31,-0.029437430915119966
GLD,2012-11-30,-0.004675418090271499
GLD,2012-12-31,-0.024267389340560164
GLD,2013-01-31,-0.0050635598973957086
GLD,2013-02-28,-0.0508684863523573
GLD,2013-03-31,0.009607843137254823
GLD,2013-04-30,-0.07574286269178476
GLD,2013-05-31,-0.06198781256566521
GLD,2013-06-30,-0.11058841099163674
GLD,2013-07-31,0.07430106624128952
GLD,2013-08-31,0.05204751484839032
GLD,2013-09-30,-0.047838359827663046
GLD,2013-10-31,-0.0034326728038696075
GLD,2013-11-30,-0.055111946140598
GLD,2013-12-31,-0.037945318972659514
GLD,2014-01-31,0.03418877023768507
GLD,2014-02-28,0.06270297277042225
GLD,2014-03-31,-0.03142140730293064
GLD,2014-04-30,0.004934875819108564
GLD,2014-05-31,-0.030510384801159196
GLD,2014-06-30,0.06319023499128118
GLD,2014-07-31,-0.03631677600749761
GLD,2014-08-31,0.0038090607018397282
GLD,2014-09-30,-0.061763281123849545
GLD,2014-10-31,-0.03054814559848551
GLD,2014-11-30,-0.00488194567725897
GLD,2014-12-31,0.01311212202301304
GLD,2015-01-31,0.08689910195456951
GLD,2015-02-28,-0.05905224787363306
GLD,2015-03-31,-0.02152203856749313
GLD,2015-04-30,-0.001671652296322379
GLD,2015-05-31,0.005552128315854388
GLD,2015-06-30,-0.015162138475021791
GLD,2015-07-31,-0.0662098424846489
GLD,2015-08-31,0.03707233393691012
GLD,2015-09-30,-0.01801139496416093
GLD,2015-10-31,0.022833614074490027
GLD,2015-11-30,-0.06752058554437324
GLD,2015-12-31,-0.0045133437990582115
GLD,2016-01-31,0.054102109205598437
GLD,2016-02-29,0.10931171060653089
GLD,2016-03-31,-0.008428860418071449
